	sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	resolved	target_skipped
481	20	3	78	0	his	True	-2	37	204	204	204	568	168	168	168	168	-2	his	False	P	False	3	1	1	0
482	20	3	113	0	his	True	-2	38	232	280	280	280	0	0	0	0	-2	his	False	P	False	3	1	1	0
485	20	3	5	0	his	True	-2	42	200	200	200	200	304	304	304	520	-2	his	False	P	False	3	1	1	0
486	20	3	162	0	his	True	-2	43	224	224	224	224	160	160	160	160	-2	his	False	P	False	3	1	1	0
528	21	3	114	0	his	True	-2	1	244	244	244	244	148	148	444	1140	-2	his	False	P	False	3	1	1	0
529	21	3	44	0	his	True	-2	2	92	92	92	92	80	80	264	564	-2	his	False	P	False	3	1	1	0
530	21	3	10	0	his	True	-2	3	212	380	380	380	132	132	132	132	-2	his	False	P	False	3	1	1	0
532	21	3	15	0	his	True	-2	5	240	240	456	1128	144	144	144	144	-2	his	False	P	False	3	1	1	0
534	21	3	86	0	his	True	-2	7	156	156	156	156	0	0	0	0	-2	his	False	P	False	3	1	1	0
535	21	3	86	0	his	True	-2	8	180	180	180	180	200	200	200	200	-2	his	False	P	False	3	1	1	0
536	21	3	146	0	his	True	-2	10	140	140	140	140	128	128	128	128	-2	his	False	P	False	3	1	1	0
537	21	3	70	0	his	True	-2	11	152	152	152	152	136	136	136	136	-2	his	False	P	False	3	1	1	0
538	21	3	36	0	his	True	-2	12	116	116	116	116	224	224	224	224	-2	his	False	P	False	3	1	1	0
539	21	3	142	0	his	True	-2	13	180	180	180	180	156	156	156	156	-2	his	False	P	False	3	1	1	0
541	21	3	30	0	his	True	-2	15	256	256	256	412	232	232	232	232	-2	his	False	P	False	3	1	1	0
542	21	3	48	0	his	True	-2	16	192	192	192	192	144	144	144	144	-2	his	False	P	False	3	1	1	0
543	21	3	155	0	his	True	-2	17	136	136	136	136	244	400	400	684	-2	his	False	P	False	3	1	1	0
545	21	3	42	0	his	True	-2	19	72	72	72	72	296	296	296	432	-2	his	False	P	False	3	1	1	0
547	21	3	63	0	his	True	-2	21	144	144	144	144	52	52	52	52	-2	his	False	P	False	3	1	1	0
549	21	3	138	0	his	True	-2	23	120	120	120	120	220	220	220	220	-2	his	False	P	False	3	1	1	0
550	21	3	146	0	his	True	-2	24	152	152	152	152	164	164	164	164	-2	his	False	P	False	3	1	1	0
553	21	3	87	0	his	True	-2	28	140	276	276	276	212	212	212	212	-2	his	False	P	False	3	1	1	0
555	21	3	95	0	his	True	-2	30	280	280	280	280	164	164	164	164	-2	his	False	P	False	3	1	1	0
557	21	3	154	0	his	True	-2	32	264	264	264	264	236	236	236	236	-2	his	False	P	False	3	1	1	0
558	21	3	128	0	his	True	-2	33	160	160	160	160	144	144	144	144	-2	his	False	P	False	3	1	1	0
559	21	3	152	0	his	True	-2	34	164	164	164	164	0	0	0	0	-2	his	False	P	False	3	1	1	0
560	21	3	95	0	his	True	-2	35	116	116	116	116	584	584	792	2312	-2	his	False	P	False	3	1	1	0
562	21	3	190	0	his	True	-2	37	124	124	124	124	180	180	180	180	-2	his	False	P	False	3	1	1	0
565	21	3	67	0	his	True	-2	40	224	224	224	224	304	304	304	304	-2	his	False	P	False	3	1	1	0
568	21	3	93	0	his	True	-2	43	128	128	128	128	212	212	212	212	-2	his	False	P	False	3	1	1	0
854	32	5	138	0	our	True	-4	1	256	256	256	764	0	0	0	0	-4	our	False	P	True	3	1	1	0
855	32	5	70	0	our	True	-4	2	176	176	700	864	0	0	0	0	-4	our	False	P	True	3	1	1	0
856	32	5	87	0	our	True	-4	3	156	348	348	348	0	0	0	0	-4	our	False	P	True	3	1	1	0
857	32	5	26	0	our	True	-4	4	132	132	1100	1220	0	0	0	0	-4	our	False	P	True	3	1	1	0
858	32	5	115	0	our	True	-4	5	304	304	304	1544	0	0	0	0	-4	our	False	P	True	3	1	1	0
859	32	5	72	0	our	True	-4	6	312	312	312	312	248	248	248	248	-4	our	False	P	True	3	1	1	0
860	32	5	73	0	our	True	-4	7	140	140	304	664	0	0	0	0	-4	our	False	P	True	3	1	1	0
861	32	5	31	0	our	True	-4	8	180	180	180	660	0	0	0	0	-4	our	False	P	True	3	1	1	0
862	32	5	58	0	our	True	-4	10	192	192	408	940	196	196	196	1104	-4	our	False	P	True	3	1	1	0
863	32	5	188	0	our	True	-4	11	280	280	280	680	0	0	0	0	-4	our	False	P	True	3	1	1	0
864	32	5	23	0	our	True	-4	12	192	192	192	772	0	0	0	0	-4	our	False	P	True	3	1	1	0
865	32	5	23	0	our	True	-4	13	184	184	184	184	504	504	504	504	-4	our	False	P	True	3	1	1	0
867	32	5	117	0	our	True	-4	15	640	640	640	640	0	0	0	0	-4	our	False	P	True	3	1	1	0
868	32	5	43	0	our	True	-4	16	216	744	1336	1556	0	0	0	0	-4	our	False	P	True	3	1	1	0
869	32	5	135	0	our	True	-4	18	276	276	276	276	292	292	292	292	-4	our	False	P	True	3	1	1	0
870	32	5	82	0	our	True	-4	19	260	260	260	260	412	412	412	636	-4	our	False	P	True	3	1	1	0
872	32	5	71	0	our	True	-4	21	124	124	124	124	232	232	232	1248	-4	our	False	P	True	3	1	1	0
874	32	5	186	0	our	True	-4	23	376	376	376	376	428	1520	1520	1520	-4	our	False	P	True	3	1	1	0
875	32	5	56	0	our	True	-4	24	168	168	168	168	396	396	396	396	-4	our	False	P	True	3	1	1	0
876	32	5	49	0	our	True	-4	25	200	200	200	340	180	180	180	180	-4	our	False	P	True	3	1	1	0
877	32	5	144	0	our	True	-4	27	260	828	828	828	0	0	0	0	-4	our	False	P	True	3	1	1	0
878	32	5	14	0	our	True	-4	28	192	192	192	192	168	168	168	292	-4	our	False	P	True	3	1	1	0
879	32	5	98	0	our	True	-4	29	180	180	180	180	152	152	152	572	-4	our	False	P	True	3	1	1	0
880	32	5	172	0	our	True	-4	30	248	248	248	864	0	0	0	0	-4	our	False	P	True	3	1	1	0
881	32	5	169	0	our	True	-4	31	140	140	140	140	0	0	0	0	-4	our	False	P	True	3	1	1	0
882	32	5	95	0	our	True	-4	32	176	176	176	176	316	316	316	316	-4	our	False	P	True	3	1	1	0
883	32	5	22	0	our	True	-4	33	236	236	236	652	200	744	744	744	-4	our	False	P	True	3	1	1	0
884	32	5	74	0	our	True	-4	34	996	996	996	996	0	0	0	0	-4	our	False	P	True	3	1	1	0
885	32	5	28	0	our	True	-4	35	156	156	156	156	560	560	560	560	-4	our	False	P	True	3	1	1	0
886	32	5	164	0	our	True	-4	36	204	204	204	616	0	0	0	0	-4	our	False	P	True	3	1	1	0
887	32	5	118	0	our	True	-4	37	184	184	468	668	0	0	0	0	-4	our	False	P	True	3	1	1	0
888	32	5	184	0	our	True	-4	38	212	212	212	264	320	320	320	320	-4	our	False	P	True	3	1	1	0
889	32	5	188	0	our	True	-4	39	140	140	232	452	148	148	148	320	-4	our	False	P	True	3	1	1	0
891	32	5	121	0	our	True	-4	41	100	100	300	636	148	148	148	148	-4	our	False	P	True	3	1	1	0
893	32	5	153	0	our	True	-4	43	212	212	212	212	144	144	144	472	-4	our	False	P	True	3	1	1	0
935	35	6	107	0	this	True	?	2	148	148	148	148	636	636	636	636	?	this	False	O	False	4	0	0	0
936	35	6	92	0	this	True	?	3	200	200	200	200	404	404	404	404	?	this	False	O	False	4	0	0	0
937	35	6	199	0	this	True	?	4	156	304	304	756	0	0	0	0	?	this	False	O	False	4	0	0	0
938	35	6	88	0	this	True	?	5	140	140	140	140	140	140	140	1548	?	this	False	O	False	4	0	0	0
940	35	6	15	0	this	True	?	7	124	124	124	124	132	132	560	2832	?	this	False	O	False	4	0	0	0
941	35	6	38	0	this	True	?	8	220	220	220	220	348	348	348	348	?	this	False	O	False	4	0	0	0
942	35	6	159	0	this	True	?	10	152	152	152	152	180	180	268	1556	?	this	False	O	False	4	0	0	0
943	35	6	18	0	this	True	?	11	276	732	732	732	0	0	0	0	?	this	False	O	False	4	0	0	0
944	35	6	195	0	this	True	?	12	152	244	244	996	0	0	0	0	?	this	False	O	False	4	0	0	0
945	35	6	80	0	this	True	?	13	248	248	248	248	68	68	68	68	?	this	False	O	False	4	0	0	0
946	35	6	62	0	this	True	?	14	196	196	916	1108	0	0	0	0	?	this	False	O	False	4	0	0	0
948	35	6	34	0	this	True	?	16	236	236	236	376	256	768	768	768	?	this	False	O	False	4	0	0	0
951	35	6	153	0	this	True	?	19	228	228	228	528	0	0	0	0	?	this	False	O	False	4	0	0	0
