	sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	resolved	target_skipped
1139	42	5	145	0	he	False	-4	2	212	212	212	212	268	344	344	648	-4	he	False	O	False	2	0	1	0
1140	42	5	173	0	he	False	-4	3	0	0	0	0	184	564	564	564	-4	he	False	O	False	2	0	1	1
1141	42	5	94	0	he	False	-4	4	144	144	144	144	180	228	620	1296	-4	he	False	O	False	2	0	1	0
1142	42	5	3	0	he	False	-4	5	0	0	0	0	224	224	452	1988	-4	he	False	O	False	2	0	1	1
1143	42	5	53	0	he	False	-4	6	0	0	0	0	252	252	252	252	-4	he	False	O	False	2	0	1	1
1144	42	5	37	0	he	False	-4	7	0	0	0	0	176	176	1136	2848	-4	he	False	O	False	2	0	1	1
1145	42	5	56	0	he	False	-4	8	312	312	312	312	260	260	260	260	-4	he	False	O	False	2	0	1	0
1146	42	5	1	0	he	False	-4	10	120	120	120	120	144	144	1040	2336	-4	he	False	O	False	2	0	1	0
1147	42	5	4	0	he	False	-4	11	148	148	148	148	132	736	736	736	-4	he	False	O	False	2	0	1	0
1148	42	5	77	0	he	False	-4	12	0	0	0	0	224	224	224	1212	-4	he	False	O	False	2	0	1	1
1149	42	5	3	0	he	False	-4	13	0	0	0	0	240	524	524	524	-4	he	False	O	False	2	0	1	1
1150	42	5	82	0	he	False	-4	14	248	248	248	248	196	196	692	1068	-4	he	False	O	False	2	0	1	0
1152	42	5	194	0	he	False	-4	16	224	224	224	224	204	204	204	380	-4	he	False	O	False	2	0	1	0
1153	42	5	177	0	he	False	-4	18	256	256	256	256	444	444	444	444	-4	he	False	O	False	2	0	1	0
1154	42	5	56	0	he	False	-4	19	0	0	0	0	368	420	560	1868	-4	he	False	O	False	2	0	1	1
1155	42	5	205	0	he	False	-4	20	0	0	0	0	156	156	156	156	-4	he	False	O	False	2	0	1	1
1156	42	5	60	0	he	False	-4	21	200	200	200	520	308	308	308	308	-4	he	False	O	False	2	0	1	0
1157	42	5	82	0	he	False	-4	22	0	0	0	0	384	640	640	640	-4	he	False	O	False	2	0	1	1
1158	42	5	61	0	he	False	-4	23	0	0	0	0	160	324	324	324	-4	he	False	O	False	2	0	1	1
1159	42	5	39	0	he	False	-4	24	0	0	0	0	176	176	176	176	-4	he	False	O	False	2	0	1	1
1160	42	5	174	0	he	False	-4	25	0	0	0	0	296	296	296	296	-4	he	False	O	False	2	0	1	1
1161	42	5	167	0	he	False	-4	27	216	216	216	216	172	484	484	484	-4	he	False	O	False	2	0	1	0
