	distance	word_pos	sent_pos	sent_nr	subj_nr	token	resolved	rt_fp	spill_fp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	target_skipped
76	?	6	85	35	39	this	0	0	336	?	this	False	O	False	4	0	1
77	?	6	106	35	40	this	0	0	192	?	this	False	O	False	4	0	1
78	?	6	200	35	41	this	0	608	0	?	this	False	O	False	4	0	0
79	?	6	193	35	42	this	0	0	132	?	this	False	O	False	4	0	1
80	?	6	166	35	43	this	0	312	252	?	this	False	O	False	4	0	0
81	?	6	174	36	1	us	0	0	1072	?	us	False	O	False	2	0	1
82	?	6	110	36	2	us	0	0	180	?	us	False	O	False	2	0	1
83	?	6	88	36	3	us	0	0	196	?	us	False	O	False	2	0	1
84	?	6	151	36	4	us	0	192	944	?	us	False	O	False	2	0	0
85	?	6	159	36	5	us	0	252	0	?	us	False	O	False	2	0	0
86	?	6	14	36	6	us	0	0	168	?	us	False	O	False	2	0	1
87	?	6	197	36	7	us	0	0	140	?	us	False	O	False	2	0	1
88	?	6	112	36	8	us	0	180	344	?	us	False	O	False	2	0	0
89	?	6	191	36	10	us	0	208	1300	?	us	False	O	False	2	0	0
90	?	6	173	36	11	us	0	284	276	?	us	False	O	False	2	0	0
91	?	6	34	36	12	us	0	0	228	?	us	False	O	False	2	0	1
92	?	6	202	36	13	us	0	0	808	?	us	False	O	False	2	0	1
93	?	6	134	36	14	us	0	0	180	?	us	False	O	False	2	0	1
94	?	6	144	36	15	us	0	180	748	?	us	False	O	False	2	0	0
95	?	6	55	36	16	us	0	548	552	?	us	False	O	False	2	0	0
96	?	6	39	36	17	us	0	0	188	?	us	False	O	False	2	0	1
97	?	6	153	36	18	us	0	0	720	?	us	False	O	False	2	0	1
98	?	6	4	36	19	us	0	228	60	?	us	False	O	False	2	0	0
99	?	6	82	36	20	us	0	0	220	?	us	False	O	False	2	0	1
100	?	6	157	36	21	us	0	0	460	?	us	False	O	False	2	0	1
101	?	6	108	36	22	us	0	0	408	?	us	False	O	False	2	0	1
102	?	6	33	36	23	us	0	176	216	?	us	False	O	False	2	0	0
103	?	6	75	36	24	us	0	0	368	?	us	False	O	False	2	0	1
104	?	6	19	36	25	us	0	0	568	?	us	False	O	False	2	0	1
105	?	6	188	36	27	us	0	300	436	?	us	False	O	False	2	0	0
106	?	6	179	36	28	us	0	0	268	?	us	False	O	False	2	0	1
107	?	6	67	36	29	us	0	0	248	?	us	False	O	False	2	0	1
108	?	6	5	36	30	us	0	144	168	?	us	False	O	False	2	0	0
109	?	6	104	36	31	us	0	140	208	?	us	False	O	False	2	0	0
110	?	6	16	36	32	us	0	0	516	?	us	False	O	False	2	0	1
111	?	6	198	36	33	us	0	148	108	?	us	False	O	False	2	0	0
112	?	6	65	36	34	us	0	0	268	?	us	False	O	False	2	0	1
113	?	6	4	36	35	us	0	0	424	?	us	False	O	False	2	0	1
114	?	6	78	36	36	us	0	256	160	?	us	False	O	False	2	0	0
115	?	6	134	36	37	us	0	112	536	?	us	False	O	False	2	0	0
116	?	6	48	36	38	us	0	0	332	?	us	False	O	False	2	0	1
117	?	6	187	36	39	us	0	0	340	?	us	False	O	False	2	0	1
118	?	6	200	36	40	us	0	140	88	?	us	False	O	False	2	0	0
119	?	6	37	36	41	us	0	0	152	?	us	False	O	False	2	0	1
120	?	6	176	36	42	us	0	256	312	?	us	False	O	False	2	0	0
121	?	6	49	36	43	us	0	248	608	?	us	False	O	False	2	0	0
122	?	3	118	39	1	him	0	144	192	?	him	False	O	False	3	0	0
123	?	3	189	39	2	him	0	0	344	?	him	False	O	False	3	0	1
124	?	3	71	39	3	him	0	144	332	?	him	False	O	False	3	0	0
125	?	3	180	39	4	him	0	0	220	?	him	False	O	False	3	0	1
126	?	3	113	39	5	him	0	0	308	?	him	False	O	False	3	0	1
127	?	3	135	39	6	him	0	0	148	?	him	False	O	False	3	0	1
128	?	3	106	39	7	him	0	72	132	?	him	False	O	False	3	0	0
129	?	3	65	39	8	him	0	204	276	?	him	False	O	False	3	0	0
