sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp
18	1	7	0	He	True	?	20	0	0	0	0	76	324	324	324
18	1	106	0	He	True	?	21	0	0	0	0	196	336	336	336
18	1	38	0	He	True	?	22	0	0	0	0	0	0	0	0
18	1	175	0	He	True	?	23	264	264	264	264	224	224	224	684
18	1	136	0	He	True	?	24	232	232	232	232	180	180	180	180
18	1	158	0	He	True	?	25	0	0	0	0	0	0	0	0
18	1	13	0	He	True	?	27	0	0	0	0	220	544	544	544
18	1	157	0	He	True	?	28	212	212	212	212	372	472	472	472
18	1	203	0	He	True	?	29	0	0	0	0	292	292	292	292
18	1	158	0	He	True	?	30	272	272	272	272	284	1004	1004	1004
18	1	119	0	He	True	?	31	0	0	0	0	260	260	260	260
18	1	203	0	He	True	?	32	232	232	232	232	152	280	280	280
18	1	29	0	He	True	?	33	256	256	256	256	156	156	156	156
18	1	58	0	He	True	?	34	0	0	0	0	40	268	268	268
18	1	149	0	He	True	?	35	0	0	0	0	256	368	368	368
18	1	22	0	He	True	?	36	0	0	0	0	0	0	0	0
18	1	188	0	He	True	?	37	0	0	0	0	44	44	236	464
18	1	141	0	He	True	?	38	0	0	0	0	240	452	452	452
18	1	205	0	He	True	?	39	0	0	0	0	0	0	0	0
18	1	65	0	He	True	?	40	0	0	0	0	0	0	0	0
18	1	136	0	He	True	?	41	0	0	0	0	0	0	0	0
18	1	184	0	He	True	?	42	156	156	156	156	136	212	212	212
18	1	195	0	He	True	?	43	180	180	180	180	180	180	180	180
18	5	33	0	his	True	-4	1	248	248	248	248	264	264	264	264
18	5	120	0	his	True	-4	2	156	156	344	568	0	0	0	0
18	5	75	0	his	True	-4	3	144	336	336	336	0	0	0	0
18	5	105	0	his	True	-4	4	644	644	644	644	0	0	0	0
18	5	81	0	his	True	-4	5	0	0	0	0	108	108	108	776
18	5	46	0	his	True	-4	6	176	176	176	176	80	80	80	80
18	5	107	0	his	True	-4	7	80	80	572	1660	0	0	0	0
18	5	153	0	his	True	-4	8	212	212	212	212	0	0	0	0
18	5	135	0	his	True	-4	10	336	336	336	336	244	524	524	1364
18	5	201	0	his	True	-4	11	196	196	196	308	108	108	108	108
18	5	177	0	his	True	-4	12	128	128	128	996	0	0	0	0
18	5	27	0	his	True	-4	13	0	0	0	0	604	604	604	604
18	5	149	0	his	True	-4	14	288	288	288	500	0	0	0	0
18	5	36	0	his	True	-4	15	232	232	336	720	0	0	0	0
18	5	38	0	his	True	-4	16	248	248	248	248	172	580	580	580
18	5	84	0	his	True	-4	17	172	172	172	172	116	116	116	484
18	5	147	0	his	True	-4	18	204	292	292	292	0	0	0	0
18	5	51	0	his	True	-4	19	64	64	296	1200	152	152	152	636
18	5	7	0	his	True	-4	20	0	0	0	0	236	416	416	560
18	5	106	0	his	True	-4	21	0	0	0	0	164	164	164	348
18	5	38	0	his	True	-4	22	0	0	0	0	116	116	300	1460
18	5	175	0	his	True	-4	23	172	172	172	172	176	176	1052	2192
18	5	136	0	his	True	-4	24	440	440	440	440	276	276	276	276
18	5	158	0	his	True	-4	25	220	220	220	336	104	104	104	104
18	5	13	0	his	True	-4	27	308	308	308	308	280	280	280	280
18	5	157	0	his	True	-4	28	324	324	324	324	148	148	148	840
18	5	203	0	his	True	-4	29	196	196	196	276	348	348	348	348
18	5	158	0	his	True	-4	30	0	0	0	0	172	172	172	2164
18	5	119	0	his	True	-4	31	0	0	0	0	160	160	160	300
18	5	203	0	his	True	-4	32	164	164	164	164	0	0	0	0
18	5	29	0	his	True	-4	33	176	176	268	672	132	132	132	1976
18	5	58	0	his	True	-4	34	168	168	168	1280	0	0	0	0
18	5	149	0	his	True	-4	35	0	0	0	0	244	244	244	668
18	5	22	0	his	True	-4	36	236	236	236	904	0	0	0	0
18	5	188	0	his	True	-4	37	176	176	176	176	140	140	140	324
18	5	141	0	his	True	-4	38	192	192	192	192	88	88	88	88
18	5	205	0	his	True	-4	39	0	0	0	0	160	160	160	284
18	5	65	0	his	True	-4	40	0	0	0	0	216	328	1052	2800
18	5	136	0	his	True	-4	41	312	312	312	312	372	372	372	372
18	5	184	0	his	True	-4	42	204	204	204	812	0	0	0	0
18	5	195	0	his	True	-4	43	148	148	148	348	188	188	188	188
19	1	37	0	He	True	?	1	300	300	300	300	348	544	544	544
19	1	96	0	He	True	?	2	0	0	0	0	184	184	184	184
19	1	4	0	He	True	?	3	0	0	0	0	68	688	688	688
19	1	63	0	He	True	?	4	0	0	0	0	320	320	320	320
19	1	40	0	He	True	?	5	0	0	0	0	0	0	0	0
19	1	21	0	He	True	?	6	84	84	84	84	0	0	0	0
19	1	142	0	He	True	?	7	0	0	0	0	232	412	412	412
19	1	202	0	He	True	?	8	0	0	0	0	252	344	344	344
19	1	28	0	He	True	?	10	0	0	0	0	280	396	396	396
19	1	3	0	He	True	?	11	252	252	252	252	136	136	136	136
19	1	40	0	He	True	?	12	0	0	0	0	248	448	448	448
19	1	165	0	He	True	?	13	276	276	276	276	220	220	220	220
19	1	197	0	He	True	?	14	0	0	0	0	336	480	480	480
19	1	204	0	He	True	?	15	0	0	0	0	232	232	232	232
19	1	115	0	He	True	?	16	256	256	256	256	148	292	292	292
19	1	90	0	He	True	?	17	0	0	0	0	256	256	256	256
19	1	77	0	He	True	?	18	0	0	0	0	316	316	316	316
19	1	94	0	He	True	?	19	0	0	0	0	176	392	392	392
19	1	91	0	He	True	?	20	0	0	0	0	308	460	460	460
19	1	178	0	He	True	?	21	0	0	0	0	0	0	0	0
19	1	87	0	He	True	?	22	356	356	356	356	192	192	192	192
19	1	165	0	He	True	?	23	308	308	308	308	280	280	280	280
19	1	204	0	He	True	?	24	228	228	228	228	176	176	176	176
19	1	20	0	He	True	?	25	0	0	0	0	0	0	0	0
19	1	100	0	He	True	?	27	0	0	0	0	156	420	420	420
19	1	145	0	He	True	?	28	256	256	256	256	148	148	148	148
19	1	47	0	He	True	?	29	0	0	0	0	252	252	252	352
19	1	107	0	He	True	?	30	256	256	256	256	156	372	372	372
19	1	34	0	He	True	?	31	0	0	0	0	228	404	404	404
19	1	176	0	He	True	?	32	236	236	236	236	168	316	316	316
19	1	101	0	He	True	?	33	272	272	272	272	124	124	204	368
19	1	139	0	He	True	?	34	176	176	176	176	136	136	136	136
19	1	160	0	He	True	?	35	240	240	240	240	140	140	140	140
19	1	112	0	He	True	?	36	0	0	0	0	88	244	244	244
19	1	196	0	He	True	?	37	184	184	184	184	140	380	380	380
19	1	65	0	He	True	?	38	0	0	0	0	184	376	376	376
19	1	77	0	He	True	?	39	0	0	0	0	0	0	0	0
